goldilocks-quadratic sha256 log_n=26 threads=1: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1142386688 peak_with_overhead=3495774392; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=26 threads=2: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1144483840 peak_with_overhead=3498395832; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=26 threads=4: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1148678144 peak_with_overhead=3503638712; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=26 threads=8: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1157066752 peak_with_overhead=3514124472; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=26 threads=16: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1173843968 peak_with_overhead=3535095992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=27 threads=1: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2237093120 peak_with_overhead=6898394832; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=27 threads=2: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2239190272 peak_with_overhead=6901016272; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=27 threads=4: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2243384576 peak_with_overhead=6906259152; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=27 threads=8: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2251773184 peak_with_overhead=6916744912; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=27 threads=16: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2268550400 peak_with_overhead=6937716432; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
